Nº Partido,EQUIPO 1,EQUIPO 2,EQUIPO 1,EMPATE,EQUIPO 2
EC265,España,Ucrania,0,0,0
EC266,España,Gales,0,0,0
EC267,Suecia,Suiza,0,0,0
EC268,Suecia,Turquía,0,0,0
EC269,Suecia,Ucrania,0,0,0
EC270,Suecia,Gales,0,0,0
EC271,Suiza,Turquía,0,0,0
EC272,Suiza,Ucrania,0,0,0
EC273,Suiza,Gales,0,0,0
EC274,Turquía,Ucrania,0,0,0
EC275,Turquía,Gales,0,0,0
EC276,Ucrania,Gales,0,0,0
